AIN127, AIN126, AIN125, AIN124, AIN123, AIN122, AIN121, AIN120, AIN0, AIN1, AIN2, AIN3, AIN60, AIN48, AIN49
-9.203, -10.483, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.048, -0.002, -0.506, -0.599, 
-9.18, -10.446, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.049, -0.001, -0.506, -0.598, 
-9.152, -10.373, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.069, -0.049, -0.001, -0.505, -0.596, 
-9.149, -10.373, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.505, -0.592, 
-9.125, -10.323, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.002, -0.507, -0.593, 
-9.118, -10.308, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.049, -0.002, -0.504, -0.588, 
-9.093, -10.281, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.002, -0.505, -0.585, 
-9.081, -10.246, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.049, -0.001, -0.504, -0.581, 
-9.051, -10.207, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.503, -0.578, 
-9.035, -10.162, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.504, -0.576, 
-9.026, -10.17, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.048, -0.001, -0.503, -0.572, 
-8.98, -10.055, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.503, -0.574, 
-8.988, -10.067, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.502, -0.569, 
-8.967, -10.036, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.048, -0.002, -0.502, -0.569, 
-8.952, -9.998, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.501, -0.564, 
-8.939, -9.982, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.501, -0.563, 
-8.922, -9.964, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.37, -0.053, -0.068, -0.049, -0.001, -0.499, -0.557, 
-8.899, -9.916, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.054, -0.068, -0.049, -0.001, -0.501, -0.556, 
-8.884, -9.895, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.048, -0.001, -0.499, -0.552, 
-8.862, -9.859, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.499, -0.549, 
-8.843, -9.82, -10.584, -10.584, -10.584, -10.584, -10.583, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.498, -0.547, 
-8.816, -9.758, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.001, -0.499, -0.547, 
-8.808, -9.731, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.499, -0.544, 
-8.802, -9.73, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.37, -0.053, -0.068, -0.049, -0.002, -0.499, -0.543, 
-8.78, -9.672, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.054, -0.068, -0.049, -0.002, -0.498, -0.54, 
-8.774, -9.674, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.054, -0.069, -0.049, -0.001, -0.496, -0.537, 
-8.752, -9.648, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.048, -0.002, -0.498, -0.534, 
-8.741, -9.612, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.048, -0.001, -0.496, -0.53, 
-8.719, -9.599, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.37, -0.053, -0.069, -0.049, -0.001, -0.496, -0.526, 
-8.686, -9.518, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.048, -0.002, -0.494, -0.525, 
-8.687, -9.531, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.369, -0.053, -0.068, -0.048, -0.001, -0.494, -0.522, 
-8.649, -9.438, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.054, -0.068, -0.049, -0.002, -0.495, -0.523, 
-8.654, -9.441, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.048, -0.001, -0.494, -0.52, 
-8.637, -9.42, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.054, -0.068, -0.049, -0.001, -0.495, -0.519, 
-8.622, -9.386, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.069, -0.049, -0.001, -0.495, -0.518, 
-8.609, -9.376, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.054, -0.068, -0.049, -0.002, -0.494, -0.515, 
-8.593, -9.357, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.493, -0.511, 
-8.578, -9.336, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.048, -0.001, -0.492, -0.508, 
-8.549, -9.294, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.051, -0.068, -0.048, -0.002, -0.494, -0.509, 
-8.542, -9.277, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.051, -0.068, -0.049, -0.001, -0.49, -0.504, 
-8.529, -9.263, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.052, -0.068, -0.049, -0.001, -0.492, -0.505, 
-8.505, -9.228, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.052, -0.068, -0.048, -0.001, -0.492, -0.504, 
-8.496, -9.215, -10.583, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.052, -0.068, -0.048, -0.002, -0.492, -0.504, 
-8.492, -9.211, -10.584, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.051, -0.068, -0.048, -0.001, -0.492, -0.503, 
-8.471, -9.183, -10.581, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.048, -0.001, -0.49, -0.501, 
-8.47, -9.182, -10.581, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.49, -0.5, 
-8.452, -9.169, -10.57, -10.584, -10.584, -10.584, -10.584, -10.584, -0.37, -0.053, -0.068, -0.048, -0.001, -0.49, -0.498, 
-8.43, -9.132, -10.521, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.49, -0.498, 
-8.421, -9.126, -10.515, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.048, -0.002, -0.49, -0.498, 
-8.4, -9.094, -10.456, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.49, -0.497, 
-8.402, -9.097, -10.46, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.002, -0.489, -0.496, 
-8.367, -9.052, -10.354, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.489, -0.496, 
-8.371, -9.05, -10.345, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.488, -0.494, 
-8.357, -9.04, -10.323, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.054, -0.069, -0.049, -0.001, -0.49, -0.496, 
-8.346, -9.018, -10.276, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.488, -0.494, 
-8.341, -9.021, -10.285, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.048, -0.001, -0.49, -0.495, 
-8.315, -8.99, -10.234, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.486, -0.492, 
-8.31, -8.978, -10.214, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.002, -0.488, -0.493, 
-8.291, -8.958, -10.176, -10.583, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.486, -0.491, 
-8.278, -8.935, -10.132, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.488, -0.492, 
-8.271, -8.932, -10.121, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.486, -0.492, 
-8.246, -8.895, -10.043, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.486, -0.491, 
-8.241, -8.886, -10.022, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.054, -0.068, -0.049, -0.001, -0.487, -0.492, 
-8.233, -8.879, -10.01, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.487, -0.492, 
-8.218, -8.861, -9.979, -10.583, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.484, -0.489, 
-8.202, -8.842, -9.942, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.484, -0.49, 
-8.197, -8.84, -9.945, -10.584, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.069, -0.049, -0.001, -0.484, -0.488, 
-8.181, -8.815, -9.896, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.069, -0.049, -0.001, -0.484, -0.488, 
-8.171, -8.805, -9.88, -10.583, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.487, -0.491, 
-8.153, -8.778, -9.825, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.483, -0.487, 
-8.153, -8.777, -9.82, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.482, -0.486, 
-8.123, -8.739, -9.738, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.069, -0.049, -0.001, -0.485, -0.489, 
-8.126, -8.737, -9.727, -10.584, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.484, -0.488, 
-8.12, -8.741, -9.736, -10.584, -10.584, -10.584, -10.584, -10.584, -0.374, -0.054, -0.069, -0.049, -0.001, -0.482, -0.486, 
-8.097, -8.703, -9.66, -10.583, -10.584, -10.584, -10.584, -10.584, -0.375, -0.054, -0.068, -0.049, -0.001, -0.482, -0.486, 
-8.102, -8.712, -9.678, -10.584, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.484, -0.487, 
-8.084, -8.694, -9.645, -10.583, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.481, -0.485, 
-8.079, -8.681, -9.624, -10.583, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.481, -0.485, 
-8.061, -8.664, -9.592, -10.583, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.002, -0.481, -0.485, 
-8.051, -8.643, -9.549, -10.584, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.002, -0.48, -0.483, 
-8.044, -8.639, -9.54, -10.583, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.048, -0.001, -0.479, -0.483, 
-8.022, -8.607, -9.466, -10.56, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.479, -0.482, 
-8.023, -8.611, -9.471, -10.567, -10.584, -10.584, -10.584, -10.584, -0.375, -0.054, -0.068, -0.049, -0.002, -0.48, -0.483, 
-8.01, -8.595, -9.437, -10.541, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.069, -0.049, -0.001, -0.481, -0.485, 
-8.004, -8.584, -9.414, -10.523, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.479, -0.482, 
-7.994, -8.575, -9.394, -10.504, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.478, -0.48, 
-7.986, -8.567, -9.39, -10.501, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.478, -0.481, 
-7.978, -8.55, -9.354, -10.463, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.479, -0.481, 
-7.968, -8.542, -9.341, -10.446, -10.584, -10.584, -10.584, -10.584, -0.374, -0.054, -0.068, -0.049, -0.001, -0.477, -0.48, 
-7.952, -8.518, -9.294, -10.387, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.479, -0.481, 
-7.955, -8.522, -9.3, -10.393, -10.584, -10.584, -10.584, -10.584, -0.37, -0.053, -0.068, -0.049, -0.001, -0.476, -0.479, 
-7.93, -8.494, -9.252, -10.321, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.475, -0.479, 
-7.919, -8.475, -9.222, -10.273, -10.584, -10.584, -10.584, -10.584, -0.372, -0.053, -0.068, -0.049, -0.001, -0.475, -0.479, 
-7.921, -8.482, -9.228, -10.285, -10.584, -10.584, -10.584, -10.584, -0.375, -0.054, -0.068, -0.049, -0.001, -0.475, -0.479, 
-7.905, -8.456, -9.197, -10.227, -10.584, -10.584, -10.584, -10.584, -0.375, -0.054, -0.068, -0.049, -0.001, -0.474, -0.476, 
-7.908, -8.463, -9.202, -10.239, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.475, -0.478, 
-7.894, -8.45, -9.186, -10.218, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.048, -0.001, -0.475, -0.478, 
-7.891, -8.439, -9.172, -10.194, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.048, -0.001, -0.474, -0.476, 
-7.875, -8.425, -9.156, -10.169, -10.584, -10.584, -10.584, -10.584, -0.372, -0.054, -0.068, -0.049, -0.001, -0.475, -0.478, 
-7.87, -8.411, -9.138, -10.134, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.473, -0.475, 
-7.869, -8.417, -9.144, -10.151, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.001, -0.474, -0.476, 
-7.835, -8.37, -9.09, -10.041, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.472, -0.474, 
-7.843, -8.378, -9.094, -10.054, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.472, -0.475, 
-7.832, -8.37, -9.084, -10.032, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.472, -0.474, 
-7.828, -8.358, -9.068, -10.003, -10.583, -10.584, -10.584, -10.584, -0.375, -0.054, -0.068, -0.049, -0.001, -0.471, -0.474, 
-7.826, -8.359, -9.068, -10.0, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.472, -0.474, 
-7.818, -8.352, -9.06, -9.996, -10.583, -10.584, -10.584, -10.584, -0.375, -0.053, -0.069, -0.049, -0.001, -0.472, -0.473, 
-7.809, -8.336, -9.042, -9.964, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.47, -0.473, 
-7.803, -8.331, -9.034, -9.951, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.47, -0.472, 
-7.791, -8.318, -9.019, -9.928, -10.584, -10.584, -10.584, -10.584, -0.371, -0.053, -0.068, -0.049, -0.001, -0.47, -0.471, 
-7.781, -8.306, -9.005, -9.9, -10.584, -10.584, -10.584, -10.584, -0.374, -0.053, -0.069, -0.049, -0.001, -0.469, -0.47, 
-7.766, -8.285, -8.979, -9.847, -10.583, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.468, -0.471, 
-7.764, -8.279, -8.969, -9.826, -10.584, -10.584, -10.584, -10.584, -0.374, -0.054, -0.068, -0.048, -0.001, -0.47, -0.472, 
-7.768, -8.286, -8.975, -9.837, -10.584, -10.584, -10.584, -10.584, -0.375, -0.053, -0.069, -0.049, -0.001, -0.47, -0.472, 
-7.753, -8.266, -8.952, -9.792, -10.584, -10.584, -10.584, -10.584, -0.375, -0.054, -0.069, -0.049, -0.001, -0.469, -0.471, 
-7.759, -8.274, -8.958, -9.804, -10.583, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.001, -0.47, -0.471, 
-7.748, -8.269, -8.956, -9.819, -10.583, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.468, -0.469, 
